Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
EMPLOYED,25_34,high school,Technology,Urban,,,40700,1/1/2023
EMPLOYED,18-24,Diploma, Fintech,rural,moderate,,17500,1/2/2023
EMPLOYED,25_34,High School,Retail,Delhi,Low,16,77600,1/3/2023
UNEMPLOYED,18-24,Masters,Retail,Urban,Low,30,100200,1/4/2023
,45-54,Diploma, Fintech,Hyderabad,low,9,19500,1/5/2023
Unemployed,25_34,PhD,Tech ,Bangalore,HIGH,,54500,1/6/2023
employed,35 - 44,Master,,Mumbai,moderate,20,136500,1/7/2023
unemployed,35 - 44,Master,,rural,Low,28,25300,1/8/2023
employed,35 - 44,Ph.D,Retail,,Medium,0,103600,1/9/2023
unemployed,55+,Ph.D,Tech ,,,3,126500,1/10/2023
Unemployed,45-54,Master,,Bangalore,High,,73400,1/11/2023
unemployed,45-54,High School,Technology,Delhi,HIGH,,27000,1/12/2023
UNEMPLOYED,35 - 44,High School,Retail,Delhi,,,,1/13/2023
Employed,18-24,PhD,Tech ,rural,low,,121700,1/14/2023
,45-54,High School,Health,Urban,low,,132100,1/15/2023
UNEMPLOYED,18-24,Bachelors,Healthcare,Bangalore,moderate,18,28700,1/16/2023
Employed,25_34,high school,Retail,urban,low,,109300,1/17/2023
EMPLOYED,18-24,Ph.D,Tech ,rural,,6,136000,1/18/2023
UNEMPLOYED,25-34,, Fintech,rural,Low,,62400,1/19/2023
employed,18 to 24,,Retail,Delhi,moderate,0,101100,1/20/2023
unemployed,35 - 44,High School,,Hyderabad,low,,108000,1/21/2023
Unemployed,18 to 24,,Health,Delhi,Medium,5,128000,1/22/2023
,35 - 44,Bachelors,Health,Hyderabad,High,5,125000,1/23/2023
EMPLOYED,,Masters,Retail,Delhi,,,,1/24/2023
Unemployed,25_34,Ph.D,Technology,Hyderabad,moderate,24,107700,1/25/2023
UNEMPLOYED,,Master,Health,Bangalore,Low,18,,1/26/2023
EMPLOYED,18-24,,Tech ,rural,Medium,,59000,1/27/2023
Unemployed,18 to 24,,Healthcare,Delhi,Medium,12,132200,1/28/2023
unemployed,35 - 44,Bachelors,Education,suburban,,22,80800,1/29/2023
employed,18-24,Master,Health,Urban,Low,15,13300,1/30/2023
unemployed,18 to 24,,Health,,HIGH,,23500,1/31/2023
Unemployed,25_34,high school,Technology,Hyderabad,HIGH,,13100,2/1/2023
Employed,25_34,High School,Finance,Urban,High,2,134500,2/2/2023
UNEMPLOYED,45-54,PhD,,Urban,low,8,86800,2/3/2023
EMPLOYED,18-24,Masters,Finance,,Medium,,31200,2/4/2023
EMPLOYED,55+,, Fintech,,Low,,106900,2/5/2023
,18 to 24,Ph.D,Retail,Bangalore,High,,93300,2/6/2023
